pair_id,strategy,detail
00064,pred_vs_pred,sample_000011_f05_sub_g25|final_static
00065,pred_vs_pred,sample_000011_f14_sub_g25|final_static
00066,pred_vs_pred,sample_000011_f11_sub_ck667|final_g10s50
00067,pred_vs_pred,sample_000012_f06_sub_g25|final_static
00068,pred_vs_pred,sample_000012_f02_sub_g25|final_static
00069,pred_vs_pred,sample_000012_f14_sub_g25|final_g10s50
00070,pred_vs_pred,sample_000012_f01_sub_g25|final_static
00071,pred_vs_pred,sample_000012_f04_sub_ck667|final_g10s50
00072,pred_vs_pred,sample_000012_f00_sub_ck667|sub_g25
00073,pred_vs_pred,sample_000012_f01_sub_g25|final_g10s50
00074,pred_vs_pred,sample_000012_f06_sub_ck667|final_static
00075,pred_vs_pred,sample_000013_f13_sub_ck667|sub_g25
00076,pred_vs_pred,sample_000013_f03_sub_ck667|sub_g25
00077,pred_vs_pred,sample_000013_f07_sub_ck667|sub_g25
00078,pred_vs_pred,sample_000013_f04_sub_g25|final_g10s50
00079,pred_vs_pred,sample_000013_f14_sub_ck667|sub_g25
00080,pred_vs_pred,sample_000013_f07_sub_ck667|final_g10s50
00081,pred_vs_pred,sample_000013_f13_final_g10s50|final_static
00082,pred_vs_pred,sample_000013_f00_sub_g25|final_g10s50
00083,pred_vs_pred,sample_000013_f10_sub_ck667|final_static
00084,pred_vs_pred,sample_000013_f13_sub_ck667|final_static
00085,pred_vs_pred,sample_000013_f06_final_g10s50|final_static
00086,pred_vs_pred,sample_000013_f01_sub_ck667|sub_g25
00087,pred_vs_pred,sample_000013_f10_sub_g25|final_static
00088,pred_vs_pred,sample_000013_f01_sub_ck667|final_g10s50
00089,pred_vs_pred,sample_000014_f07_sub_ck667|sub_g25
00090,pred_vs_pred,sample_000014_f05_sub_ck667|final_static
00091,pred_vs_pred,sample_000014_f01_sub_ck667|sub_g25
00092,pred_vs_pred,sample_000014_f05_final_g10s50|final_static
00093,pred_vs_pred,sample_000014_f00_final_g10s50|final_static
00094,pred_vs_pred,sample_000014_f06_sub_g25|final_g10s50
00095,pred_vs_pred,sample_000014_f15_sub_ck667|final_g10s50
00096,pred_vs_pred,sample_000014_f05_sub_ck667|sub_g25
00097,pred_vs_pred,sample_000015_f07_sub_ck667|sub_g25
00098,pred_vs_pred,sample_000015_f09_sub_g25|final_g10s50
00099,pred_vs_pred,sample_000015_f15_sub_ck667|final_static
00100,pred_vs_pred,sample_000015_f03_sub_g25|final_static
00101,pred_vs_pred,sample_000015_f12_sub_g25|final_g10s50
00102,pred_vs_pred,sample_000015_f02_sub_ck667|final_g10s50
00103,pred_vs_pred,sample_000015_f03_sub_ck667|sub_g25
00104,pred_vs_pred,sample_000015_f05_sub_g25|final_g10s50
00105,pred_vs_pred,sample_000016_f07_sub_g25|final_g10s50
00106,pred_vs_pred,sample_000016_f00_final_g10s50|final_static
00107,pred_vs_pred,sample_000016_f15_final_g10s50|final_static
00108,pred_vs_pred,sample_000016_f03_sub_ck667|final_g10s50
00109,pred_vs_pred,sample_000016_f15_sub_g25|final_static
00110,pred_vs_pred,sample_000017_f00_sub_ck667|final_g10s50
00111,pred_vs_pred,sample_000017_f14_sub_ck667|final_g10s50
00112,pred_vs_pred,sample_000017_f15_sub_ck667|sub_g25
00113,pred_vs_pred,sample_000017_f07_sub_ck667|final_static
00114,pred_vs_pred,sample_000018_f15_sub_ck667|final_g10s50
00115,pred_vs_pred,sample_000018_f06_sub_g25|final_g10s50
00116,pred_vs_pred,sample_000019_f13_sub_ck667|sub_g25
00117,pred_vs_pred,sample_000019_f11_final_g10s50|final_static
00118,pred_vs_pred,sample_000019_f07_sub_ck667|final_g10s50
00119,pred_vs_pred,sample_000019_f13_sub_g25|final_static
00120,pred_vs_pred,sample_000020_f13_sub_g25|final_g10s50
00121,pred_vs_pred,sample_000020_f13_sub_ck667|final_static
00122,pred_vs_pred,sample_000020_f13_final_g10s50|final_static
00123,pred_vs_pred,sample_000020_f08_sub_g25|final_g10s50
00124,pred_vs_pred,sample_000020_f08_final_g10s50|final_static
00125,pred_vs_pred,sample_000020_f03_sub_ck667|final_g10s50
00126,pred_vs_pred,sample_000020_f14_final_g10s50|final_static
00127,pred_vs_pred,sample_000021_f04_sub_ck667|sub_g25
00128,pred_vs_pred,sample_000021_f07_final_g10s50|final_static
00129,pred_vs_pred,sample_000021_f03_sub_g25|final_g10s50
00130,pred_vs_pred,sample_000021_f12_final_g10s50|final_static
00131,pred_vs_pred,sample_000021_f12_sub_g25|final_static
00132,pred_vs_pred,sample_000021_f07_sub_g25|final_g10s50
00133,pred_vs_pred,sample_000021_f11_sub_g25|final_static
00134,pred_vs_pred,sample_000021_f04_sub_g25|final_static
00135,pred_vs_pred,sample_000022_f07_sub_g25|final_g10s50
00136,pred_vs_pred,sample_000022_f10_sub_ck667|final_static
00137,pred_vs_pred,sample_000022_f06_sub_ck667|final_static
00138,pred_vs_pred,sample_000022_f10_final_g10s50|final_static
00139,pred_vs_pred,sample_000022_f01_sub_g25|final_static
00140,pred_vs_pred,sample_000022_f11_sub_ck667|final_static
00141,pred_vs_pred,sample_000023_f09_sub_ck667|final_g10s50
00142,pred_vs_pred,sample_000023_f14_sub_ck667|final_g10s50
00143,pred_vs_pred,sample_000023_f03_final_g10s50|final_static
00144,pred_vs_pred,sample_000024_f09_sub_ck667|sub_g25
00145,pred_vs_pred,sample_000024_f03_sub_ck667|sub_g25
00146,pred_vs_pred,sample_000024_f00_sub_ck667|sub_g25
00147,pred_vs_pred,sample_000024_f01_sub_ck667|sub_g25
00148,pred_vs_pred,sample_000024_f15_sub_g25|final_static
00149,pred_vs_pred,sample_000024_f00_sub_g25|final_static
00150,pred_vs_pred,sample_000024_f11_sub_ck667|sub_g25
00151,pred_vs_pred,sample_000025_f02_sub_g25|final_static
00152,pred_vs_pred,sample_000025_f04_sub_ck667|sub_g25
00153,pred_vs_pred,sample_000025_f11_sub_ck667|final_static
00154,pred_vs_pred,sample_000026_f15_final_g10s50|final_static
00155,pred_vs_pred,sample_000026_f01_sub_ck667|sub_g25
00156,pred_vs_pred,sample_000026_f12_final_g10s50|final_static
00157,pred_vs_pred,sample_000026_f09_sub_g25|final_g10s50
00158,pred_vs_pred,sample_000026_f05_sub_ck667|final_g10s50
00159,pred_vs_pred,sample_000026_f01_sub_g25|final_g10s50
00160,pred_vs_pred,sample_000026_f14_sub_ck667|final_g10s50
00161,pred_vs_pred,sample_000026_f12_sub_g25|final_g10s50
00162,pred_vs_pred,sample_000027_f07_sub_ck667|final_static
00163,pred_vs_pred,sample_000027_f06_sub_ck667|final_g10s50
00164,pred_vs_pred,sample_000027_f08_final_g10s50|final_static
00165,pred_vs_pred,sample_000027_f12_sub_ck667|final_g10s50
00166,pred_vs_pred,sample_000027_f13_sub_g25|final_static
00167,pred_vs_pred,sample_000027_f09_sub_ck667|final_g10s50
00168,pred_vs_pred,sample_000027_f12_sub_ck667|final_static
00169,pred_vs_pred,sample_000027_f05_sub_g25|final_g10s50
00170,pred_vs_pred,sample_000027_f12_final_g10s50|final_static
00171,pred_vs_pred,sample_000027_f02_final_g10s50|final_static
00172,pred_vs_pred,sample_000028_f01_final_g10s50|final_static
00173,pred_vs_pred,sample_000028_f07_final_g10s50|final_static
00174,pred_vs_pred,sample_000028_f14_sub_ck667|final_static
00175,pred_vs_pred,sample_000028_f08_final_g10s50|final_static
00176,pred_vs_pred,sample_000028_f14_sub_ck667|final_g10s50
00177,pred_vs_pred,sample_000028_f10_final_g10s50|final_static
00178,pred_vs_pred,sample_000028_f13_sub_g25|final_static
00179,pred_vs_pred,sample_000029_f10_sub_g25|final_static
00180,pred_vs_pred,sample_000029_f08_sub_ck667|final_static
00181,pred_vs_pred,sample_000029_f01_sub_g25|final_g10s50
00182,pred_vs_pred,sample_000029_f09_sub_ck667|sub_g25
00183,pred_vs_pred,sample_000029_f03_sub_g25|final_g10s50
00184,pred_vs_pred,sample_000030_f10_sub_g25|final_g10s50
00185,pred_vs_pred,sample_000030_f15_sub_ck667|sub_g25
00186,pred_vs_pred,sample_000030_f09_sub_ck667|final_static
00187,pred_vs_pred,sample_000031_f13_sub_ck667|final_static
00188,pred_vs_pred,sample_000031_f02_sub_ck667|sub_g25
00189,pred_vs_pred,sample_000031_f04_sub_ck667|final_static
00190,pred_vs_pred,sample_000031_f03_final_g10s50|final_static
00191,pred_vs_pred,sample_000031_f15_sub_g25|final_static
00192,pred_vs_pred,sample_000031_f14_sub_g25|final_g10s50
00193,pred_vs_pred,sample_000031_f01_sub_ck667|final_g10s50
00194,pred_vs_pred,sample_000031_f09_sub_ck667|final_static
00195,pred_vs_pred,sample_000032_f05_final_g10s50|final_static
00196,pred_vs_pred,sample_000033_f11_sub_ck667|final_static
00197,pred_vs_pred,sample_000033_f06_sub_ck667|sub_g25
00198,pred_vs_pred,sample_000033_f14_final_g10s50|final_static
00199,pred_vs_pred,sample_000033_f07_sub_g25|final_g10s50
00200,pred_vs_pred,sample_000033_f13_sub_g25|final_static
00201,pred_vs_pred,sample_000033_f11_sub_ck667|final_g10s50
00202,pred_vs_pred,sample_000033_f12_sub_ck667|sub_g25
00203,pred_vs_pred,sample_000034_f05_final_g10s50|final_static
00204,pred_vs_pred,sample_000034_f05_sub_ck667|final_static
00205,pred_vs_pred,sample_000034_f10_sub_ck667|final_g10s50
00206,pred_vs_pred,sample_000034_f07_sub_ck667|sub_g25
00207,pred_vs_pred,sample_000034_f03_sub_ck667|sub_g25
00208,pred_vs_pred,sample_000034_f13_sub_ck667|final_g10s50
00209,pred_vs_pred,sample_000034_f14_final_g10s50|final_static
00210,pred_vs_pred,sample_000035_f11_sub_ck667|final_static
00211,pred_vs_pred,sample_000035_f12_sub_ck667|sub_g25
00212,pred_vs_pred,sample_000035_f15_sub_ck667|sub_g25
00213,pred_vs_pred,sample_000035_f00_sub_ck667|final_g10s50
00214,pred_vs_pred,sample_000035_f15_final_g10s50|final_static
00215,pred_vs_pred,sample_000035_f06_sub_ck667|sub_g25
00216,pred_vs_pred,sample_000036_f09_final_g10s50|final_static
00217,pred_vs_pred,sample_000036_f13_final_g10s50|final_static
00218,pred_vs_pred,sample_000037_f03_sub_g25|final_g10s50
00219,pred_vs_pred,sample_000037_f01_sub_ck667|final_static
00220,pred_vs_pred,sample_000037_f14_sub_ck667|final_g10s50
00221,pred_vs_pred,sample_000037_f01_sub_ck667|final_g10s50
00222,pred_vs_pred,sample_000038_f11_sub_g25|final_g10s50
00223,pred_vs_pred,sample_000038_f05_sub_g25|final_static
00224,pred_vs_pred,sample_000038_f04_sub_g25|final_g10s50
00225,pred_vs_pred,sample_000039_f05_final_g10s50|final_static
00226,pred_vs_pred,sample_000039_f15_sub_g25|final_static
00227,pred_vs_pred,sample_000039_f09_sub_g25|final_static
00228,pred_vs_pred,sample_000039_f08_sub_ck667|final_g10s50
00229,pred_vs_pred,sample_000039_f04_sub_g25|final_g10s50
00230,pred_vs_pred,sample_000039_f03_sub_ck667|final_static
00231,pred_vs_pred,sample_000039_f09_sub_g25|final_g10s50
00232,pred_vs_pred,sample_000039_f04_sub_ck667|sub_g25
00233,pred_vs_pred,sample_000039_f01_sub_ck667|sub_g25
00234,pred_vs_pred,sample_000039_f10_sub_ck667|final_static
00235,pred_vs_pred,sample_000039_f09_sub_ck667|final_static
00236,pred_vs_pred,sample_000040_f13_sub_g25|final_static
00237,pred_vs_pred,sample_000040_f00_sub_ck667|sub_g25
00238,pred_vs_pred,sample_000040_f09_sub_ck667|final_static
00239,pred_vs_pred,sample_000040_f05_sub_ck667|final_static
00240,pred_vs_pred,sample_000040_f05_sub_ck667|sub_g25
00241,pred_vs_pred,sample_000040_f08_sub_ck667|final_static
00242,pred_vs_pred,sample_000040_f05_sub_g25|final_static
00243,pred_vs_pred,sample_000040_f15_sub_ck667|final_static
00244,pred_vs_pred,sample_000041_f07_final_g10s50|final_static
00245,pred_vs_pred,sample_000041_f06_final_g10s50|final_static
00246,pred_vs_pred,sample_000041_f03_final_g10s50|final_static
00247,pred_vs_pred,sample_000041_f02_sub_ck667|final_g10s50
00248,pred_vs_pred,sample_000041_f09_sub_ck667|sub_g25
00249,pred_vs_pred,sample_000041_f13_sub_g25|final_g10s50
00250,pred_vs_pred,sample_000042_f09_sub_g25|final_g10s50
00251,pred_vs_pred,sample_000042_f07_sub_g25|final_g10s50
00252,pred_vs_pred,sample_000042_f04_sub_g25|final_g10s50
00253,pred_vs_pred,sample_000042_f06_final_g10s50|final_static
00254,pred_vs_pred,sample_000042_f00_sub_g25|final_static
00255,pred_vs_pred,sample_000042_f11_final_g10s50|final_static
00256,pred_vs_pred,sample_000042_f01_sub_ck667|final_static
00257,pred_vs_pred,sample_000043_f07_sub_ck667|final_static
00258,pred_vs_pred,sample_000043_f06_sub_ck667|final_g10s50
00259,pred_vs_pred,sample_000043_f11_sub_g25|final_g10s50
00260,pred_vs_pred,sample_000044_f07_sub_ck667|final_g10s50
00261,pred_vs_pred,sample_000044_f08_sub_g25|final_static
00262,pred_vs_pred,sample_000044_f04_sub_ck667|sub_g25
00263,pred_vs_pred,sample_000044_f06_final_g10s50|final_static
00264,pred_vs_pred,sample_000044_f01_sub_g25|final_static
00265,pred_vs_pred,sample_000044_f05_sub_ck667|sub_g25
00266,pred_vs_pred,sample_000045_f02_sub_g25|final_static
00267,pred_vs_pred,sample_000045_f08_sub_g25|final_g10s50
00268,pred_vs_pred,sample_000045_f04_sub_g25|final_static
00269,pred_vs_pred,sample_000045_f02_sub_ck667|final_g10s50
00270,pred_vs_pred,sample_000045_f01_sub_ck667|sub_g25
00271,pred_vs_pred,sample_000045_f14_sub_ck667|sub_g25
00272,pred_vs_pred,sample_000045_f01_sub_g25|final_g10s50
00273,pred_vs_pred,sample_000045_f03_final_g10s50|final_static
00274,pred_vs_pred,sample_000046_f00_sub_ck667|final_static
00275,pred_vs_pred,sample_000046_f13_sub_g25|final_static
00276,pred_vs_pred,sample_000046_f04_sub_ck667|final_static
00277,pred_vs_pred,sample_000046_f14_sub_g25|final_g10s50
00278,pred_vs_pred,sample_000046_f05_final_g10s50|final_static
00279,pred_vs_pred,sample_000047_f08_sub_g25|final_g10s50
00280,pred_vs_pred,sample_000047_f11_sub_ck667|final_g10s50
00281,pred_vs_pred,sample_000047_f04_sub_ck667|sub_g25
00282,pred_vs_pred,sample_000047_f00_sub_g25|final_g10s50
00283,pred_vs_pred,sample_000047_f10_sub_ck667|sub_g25
00284,pred_vs_pred,sample_000047_f14_sub_g25|final_static
00285,pred_vs_pred,sample_000047_f02_final_g10s50|final_static
00286,pred_vs_pred,sample_000048_f10_sub_ck667|final_g10s50
00287,pred_vs_pred,sample_000048_f01_sub_g25|final_g10s50
00288,pred_vs_pred,sample_000048_f14_sub_g25|final_g10s50
00289,pred_vs_pred,sample_000048_f06_final_g10s50|final_static
00290,pred_vs_pred,sample_000048_f09_sub_ck667|sub_g25
00291,pred_vs_pred,sample_000048_f10_sub_g25|final_g10s50
00292,pred_vs_pred,sample_000048_f11_final_g10s50|final_static
00293,pred_vs_pred,sample_000048_f00_sub_ck667|final_g10s50
00294,pred_vs_pred,sample_000048_f07_sub_g25|final_static
00295,pred_vs_pred,sample_000049_f15_sub_ck667|final_g10s50
00296,pred_vs_pred,sample_000049_f11_sub_g25|final_g10s50
00297,pred_vs_pred,sample_000050_f02_sub_g25|final_g10s50
00298,pred_vs_pred,sample_000050_f10_sub_ck667|final_static
00299,pred_vs_pred,sample_000050_f10_sub_ck667|final_g10s50
00300,pred_vs_pred,sample_000050_f12_sub_g25|final_static
00301,pred_vs_pred,sample_000050_f02_sub_ck667|final_static
00302,pred_vs_pred,sample_000050_f08_sub_ck667|final_static
00303,pred_vs_pred,sample_000050_f05_sub_g25|final_g10s50
00304,pred_vs_pred,sample_000050_f09_sub_ck667|final_g10s50
00305,pred_vs_pred,sample_000051_f00_sub_g25|final_static
00306,pred_vs_pred,sample_000051_f08_sub_g25|final_static
00307,pred_vs_pred,sample_000051_f00_sub_ck667|sub_g25
00308,pred_vs_pred,sample_000051_f10_sub_ck667|final_static
00309,pred_vs_pred,sample_000051_f10_sub_g25|final_static
00310,pred_vs_pred,sample_000051_f09_final_g10s50|final_static
00311,pred_vs_pred,sample_000051_f03_sub_g25|final_g10s50
00312,pred_vs_pred,sample_000051_f07_sub_g25|final_g10s50
00313,pred_vs_pred,sample_000052_f05_final_g10s50|final_static
00314,pred_vs_pred,sample_000052_f11_sub_ck667|final_static
00315,pred_vs_pred,sample_000052_f08_sub_ck667|final_static
00316,pred_vs_pred,sample_000052_f07_final_g10s50|final_static
00317,pred_vs_pred,sample_000052_f15_final_g10s50|final_static
00318,pred_vs_pred,sample_000053_f13_sub_ck667|final_g10s50
00319,pred_vs_pred,sample_000053_f02_sub_ck667|sub_g25
00320,pred_vs_pred,sample_000053_f03_sub_ck667|final_static
00321,pred_vs_pred,sample_000053_f04_sub_g25|final_static
00322,pred_vs_pred,sample_000053_f06_sub_ck667|final_g10s50
00323,pred_vs_pred,sample_000053_f05_sub_ck667|final_g10s50
00324,pred_vs_pred,sample_000053_f09_sub_g25|final_static
00325,pred_vs_pred,sample_000054_f00_sub_ck667|sub_g25
00326,pred_vs_pred,sample_000054_f10_sub_ck667|final_g10s50
00327,pred_vs_pred,sample_000054_f13_sub_g25|final_g10s50
00328,pred_vs_pred,sample_000055_f04_sub_ck667|final_static
00329,pred_vs_pred,sample_000055_f14_final_g10s50|final_static
00330,pred_vs_pred,sample_000055_f14_sub_g25|final_g10s50
00331,pred_vs_pred,sample_000055_f13_sub_ck667|final_g10s50
00332,pred_vs_pred,sample_000055_f09_sub_ck667|final_static
00333,pred_vs_pred,sample_000055_f10_sub_ck667|final_static
00334,pred_vs_pred,sample_000055_f06_sub_g25|final_g10s50
00335,pred_vs_pred,sample_000055_f06_sub_ck667|final_g10s50
00336,pred_vs_pred,sample_000056_f08_sub_g25|final_static
00337,pred_vs_pred,sample_000056_f13_sub_g25|final_g10s50
00338,pred_vs_pred,sample_000056_f13_sub_g25|final_static
00339,pred_vs_pred,sample_000057_f13_sub_ck667|final_g10s50
00340,pred_vs_pred,sample_000057_f06_final_g10s50|final_static
00341,pred_vs_pred,sample_000057_f10_sub_ck667|sub_g25
00342,pred_vs_pred,sample_000057_f07_sub_ck667|final_g10s50
00343,pred_vs_pred,sample_000058_f03_sub_ck667|sub_g25
00344,pred_vs_pred,sample_000058_f14_sub_ck667|final_static
00345,pred_vs_pred,sample_000058_f07_final_g10s50|final_static
00346,pred_vs_pred,sample_000058_f07_sub_g25|final_g10s50
00347,pred_vs_pred,sample_000059_f10_sub_g25|final_static
00348,pred_vs_pred,sample_000059_f10_sub_ck667|final_g10s50
00349,pred_vs_pred,sample_000059_f02_final_g10s50|final_static
00350,pred_vs_pred,sample_000060_f13_sub_g25|final_static
00351,pred_vs_pred,sample_000060_f11_sub_g25|final_g10s50
00352,pred_vs_pred,sample_000060_f05_sub_ck667|final_static
00353,pred_vs_pred,sample_000060_f06_sub_ck667|final_g10s50
00354,pred_vs_pred,sample_000060_f02_sub_g25|final_static
00355,pred_vs_pred,sample_000061_f08_sub_g25|final_static
00356,pred_vs_pred,sample_000061_f04_sub_g25|final_static
00357,pred_vs_pred,sample_000061_f09_sub_ck667|sub_g25
00358,pred_vs_pred,sample_000062_f12_sub_ck667|final_g10s50
00359,pred_vs_pred,sample_000062_f03_sub_ck667|final_g10s50
00360,pred_vs_pred,sample_000062_f01_sub_g25|final_static
00361,pred_vs_pred,sample_000062_f13_sub_ck667|sub_g25
00362,pred_vs_pred,sample_000062_f12_sub_g25|final_g10s50
00363,pred_vs_pred,sample_000063_f11_sub_g25|final_static
00364,pred_vs_pred,sample_000063_f02_sub_ck667|final_g10s50
00365,pred_vs_pred,sample_000063_f13_sub_ck667|final_g10s50
00366,pred_vs_pred,sample_000063_f04_final_g10s50|final_static
00367,pred_vs_pred,sample_000063_f04_sub_ck667|final_static
00368,pred_vs_pred,sample_000063_f12_sub_ck667|final_g10s50
00369,pred_vs_pred,sample_000063_f11_final_g10s50|final_static
00370,pred_vs_pred,sample_000064_f10_sub_ck667|final_g10s50
00371,pred_vs_pred,sample_000064_f15_sub_g25|final_static
00372,pred_vs_pred,sample_000064_f05_sub_g25|final_g10s50
00373,pred_vs_pred,sample_000064_f02_sub_g25|final_static
00374,pred_vs_pred,sample_000064_f08_final_g10s50|final_static
00375,pred_vs_pred,sample_000064_f14_sub_ck667|final_static
00376,pred_vs_pred,sample_000064_f01_sub_g25|final_g10s50
00377,pred_vs_pred,sample_000065_f03_sub_ck667|final_static
00378,pred_vs_pred,sample_000065_f10_sub_ck667|final_g10s50
00379,pred_vs_pred,sample_000065_f00_sub_ck667|sub_g25
00380,pred_vs_pred,sample_000065_f08_sub_ck667|final_g10s50
00381,pred_vs_pred,sample_000065_f00_sub_ck667|final_g10s50
00382,pred_vs_pred,sample_000065_f04_sub_ck667|final_g10s50
00383,pred_vs_pred,sample_000065_f13_sub_ck667|final_g10s50
00384,pred_vs_pred,sample_000066_f06_sub_g25|final_static
00385,pred_vs_pred,sample_000066_f08_sub_g25|final_static
00386,pred_vs_pred,sample_000066_f14_sub_g25|final_g10s50
00387,pred_vs_pred,sample_000066_f15_sub_ck667|final_static
00388,pred_vs_pred,sample_000067_f12_sub_ck667|sub_g25
00389,pred_vs_pred,sample_000067_f09_sub_g25|final_g10s50
00390,pred_vs_pred,sample_000067_f09_sub_ck667|final_g10s50
00391,pred_vs_pred,sample_000068_f00_sub_g25|final_static
00392,pred_vs_pred,sample_000068_f13_sub_ck667|final_static
00393,pred_vs_pred,sample_000068_f15_sub_ck667|sub_g25
00394,pred_vs_pred,sample_000068_f13_sub_ck667|sub_g25
00395,pred_vs_pred,sample_000068_f10_sub_g25|final_static
00396,pred_vs_pred,sample_000069_f12_sub_g25|final_static
00397,pred_vs_pred,sample_000069_f05_sub_g25|final_static
00398,pred_vs_pred,sample_000069_f06_final_g10s50|final_static
00399,pred_vs_pred,sample_000069_f14_sub_ck667|final_static
00400,pred_vs_pred,sample_000069_f10_sub_ck667|sub_g25
00401,pred_vs_pred,sample_000069_f08_sub_ck667|sub_g25
00402,pred_vs_pred,sample_000069_f11_sub_g25|final_g10s50
00403,pred_vs_pred,sample_000070_f03_sub_g25|final_g10s50
00404,pred_vs_pred,sample_000070_f15_sub_ck667|sub_g25
00405,pred_vs_pred,sample_000070_f11_sub_g25|final_static
00406,pred_vs_pred,sample_000070_f05_sub_g25|final_g10s50
00407,pred_vs_pred,sample_000070_f15_final_g10s50|final_static
00408,pred_vs_pred,sample_000070_f07_sub_g25|final_static
00409,pred_vs_pred,sample_000070_f11_sub_ck667|sub_g25
00410,pred_vs_pred,sample_000071_f14_sub_ck667|sub_g25
00411,pred_vs_pred,sample_000071_f00_sub_g25|final_g10s50
00412,pred_vs_pred,sample_000071_f12_sub_ck667|final_static
00413,pred_vs_pred,sample_000071_f04_sub_g25|final_static
00414,pred_vs_pred,sample_000071_f08_sub_g25|final_g10s50
00415,pred_vs_pred,sample_000071_f03_sub_g25|final_g10s50
00416,pred_vs_pred,sample_000071_f05_sub_ck667|final_g10s50
00417,pred_vs_pred,sample_000072_f14_sub_ck667|sub_g25
00418,pred_vs_pred,sample_000072_f13_sub_g25|final_static
00419,pred_vs_pred,sample_000073_f07_sub_ck667|final_g10s50
00420,pred_vs_pred,sample_000073_f11_sub_ck667|sub_g25
00421,pred_vs_pred,sample_000073_f11_sub_g25|final_g10s50
